Keyword,Period,Year,Date,Hit_Cleaned,Hit
Volk,1946-1969,1946,1946-03-21,"""Die im Kriege Gefallenen sind bei Göttern geehrt und Menschen""; ungezählt bleiben die Worte der Bibel, die die Völker aller Epochen und Sprachen ihren gefallenen Kriegern zum Gedächtnis in Stein meißelten.","""Die im Kriege Gefallenen sind bei Göttern geehrt und Menschen""; ungezählt bleiben die Worte der Bibel, die die Völker aller Epochen und Sprachen ihren gefallenen Kriegern zum Gedächtnis in Stein meißelten."
Volk,1946-1969,1946,1946-05-23,"Sie treffen die Substanz dieses Volkes, bevor sie noch bekannt sind.","Sie treffen die Substanz dieses Volkes, bevor sie noch bekannt sind."
Volk,1946-1969,1946,1946-04-11,"Die getroffene Regelung ist darüber hinaus eine Manifestation des Willens aller Völker, künftig gemeinsam den Aufbau der zerschlagenen Welt durchzuführen.","Die getroffene Regelung ist darüber hinaus eine Manifestation des Willens aller Völker, künftig gemeinsam den Aufbau der zerschlagenen Welt durchzuführen."
Volk,1946-1969,1946,1946-11-14,"Die Völker der Welt wüßten, so sagte er ebenfalls, daß es keinen wahren Frieden ohne Gerechtigkeit für alle geben könne - Gerechtigkeit für die kleinen wie die großen Nationen.","Die Völker der Welt wüßten, so sagte er ebenfalls, daß es keinen wahren Frieden ohne Gerechtigkeit für alle geben könne - Gerechtigkeit für die kleinen wie die großen Nationen."
Volk,1946-1969,1946,1946-11-07,"Großbritannien wird in seiner Stellungnahme, wie die Erklärung von Cripps und andere Verlautbarungen vermuten lassen, in diesem Ausschuß wenig von den Exportsorgen der eigenen Textilindustrie, jedoch mehr von den volkswirtschaftlichen Gegebenheiten Japans ausgehen, das als ein Volk von 80 Millionen und bei dem Mangel an Rohstoffen durch Export seine Rohstoffeinfuhr bezahlen müßte.","Großbritannien wird in seiner Stellungnahme, wie die Erklärung von Cripps und andere Verlautbarungen vermuten lassen, in diesem Ausschuß wenig von den Exportsorgen der eigenen Textilindustrie, jedoch mehr von den volkswirtschaftlichen Gegebenheiten Japans ausgehen, das als ein Volk von 80 Millionen und bei dem Mangel an Rohstoffen durch Export seine Rohstoffeinfuhr bezahlen müßte."
Volk,1946-1969,1946,1946-08-08,"Der Austausch wird sich nicht darauf beschränken, vorhandene Mengen besser zu verteilen, sondern die Erzeugung zu beleben und, auf den Stand zu heben, der dem deutschen Volke wieder Hoffnung und den Glauben an die Zukunft gibt.","Der Austausch wird sich nicht darauf beschränken, vorhandene Mengen besser zu verteilen, sondern die Erzeugung zu beleben und, auf den Stand zu heben, der dem deutschen Volke wieder Hoffnung und den Glauben an die Zukunft gibt."
Volk,1946-1969,1946,1946-08-29,"Schonungslos wird die Bilanz des Nationalsozialismus gezogen, der die ""Existenz dieses bloß gehorsamen und treuen, aber verantwortungsscheuen Volkes in Frage"" stellte.","Schonungslos wird die Bilanz des Nationalsozialismus gezogen, der die ""Existenz dieses bloß gehorsamen und treuen, aber verantwortungsscheuen Volkes in Frage"" stellte."
Volk,1946-1969,1946,1946-11-21,"An diesem Tag feiert die Nationalregierung seit ihrem Bestehen ihren größten Festtag mit Reden, Aufmärschen, Ehrungen"" des ""Vaters der Republik"" - Sun-Ya-Tsen und Pailous, großen gezimmerten Ehrenbögen über den Straßen, die mit Girlanden, Blumen und Sprüchen verziert sind Während des achtjährigen Krieges stand dieser Tag im Zeichen nationaler Besinnung, an dem die Völker Chinas zu einem weiteren Ausharren aufgerufen wurden.","An diesem Tag feiert die Nationalregierung seit ihrem Bestehen ihren größten Festtag mit Reden, Aufmärschen, Ehrungen"" des ""Vaters der Republik"" - Sun-Ya-Tsen und Pailous, großen gezimmerten Ehrenbögen über den Straßen, die mit Girlanden, Blumen und Sprüchen verziert sind Während des achtjährigen Krieges stand dieser Tag im Zeichen nationaler Besinnung, an dem die Völker Chinas zu einem weiteren Ausharren aufgerufen wurden."
Volk,1946-1969,1946,1946-05-23,"Ob Umberto, Generalstatthalter und nunmehr Nachfolger seines Vaters, ohne Umstände beiseite treten wird, wenn die Stimme des Volkes gegen ihn entscheiden sollte?","Ob Umberto, Generalstatthalter und nunmehr Nachfolger seines Vaters, ohne Umstände beiseite treten wird, wenn die Stimme des Volkes gegen ihn entscheiden sollte?"
Volk,1946-1969,1946,1946-06-20,"Die Besatzungbehörden, die kaum Möglichkeiten zum Eingreifen hatten, seitdem die deutschen Truppen zum größten Teil an die Ostfront abgezogen worden waren, mußten zugeben, daß etwa 80 v. H. des serbischen Volkes hinter Mihailowitsch standen und bereit waren, ihn im entscheidenden Augenblick zu unterstützen.","Die Besatzungbehörden, die kaum Möglichkeiten zum Eingreifen hatten, seitdem die deutschen Truppen zum größten Teil an die Ostfront abgezogen worden waren, mußten zugeben, daß etwa 80 v. H. des serbischen Volkes hinter Mihailowitsch standen und bereit waren, ihn im entscheidenden Augenblick zu unterstützen."
